vehicle_id,vehicle_type,speed,frame_number,timestamp
494,car,0,3149,2026-01-14 21:59:04
495,car,0,3154,2026-01-14 21:59:05
496,car,0,3161,2026-01-14 21:59:05
497,car,0,3161,2026-01-14 21:59:05
498,car,0,3162,2026-01-14 21:59:05
499,car,0,3162,2026-01-14 21:59:05
500,car,0,3162,2026-01-14 21:59:05
501,car,0,3167,2026-01-14 21:59:06
502,car,0,3167,2026-01-14 21:59:06
503,car,0,3167,2026-01-14 21:59:06
504,car,0,3168,2026-01-14 21:59:06
505,car,0,3168,2026-01-14 21:59:06
506,car,0,3170,2026-01-14 21:59:06
507,car,0,3171,2026-01-14 21:59:06
508,car,0,3171,2026-01-14 21:59:06
509,car,0,3172,2026-01-14 21:59:07
510,car,0,3172,2026-01-14 21:59:07
511,car,0,3174,2026-01-14 21:59:07
512,car,0,3175,2026-01-14 21:59:07
513,car,0,3175,2026-01-14 21:59:07
514,car,0,3176,2026-01-14 21:59:07
515,car,0,3177,2026-01-14 21:59:07
516,car,0,3178,2026-01-14 21:59:07
517,car,0,3179,2026-01-14 21:59:07
518,car,0,3180,2026-01-14 21:59:07
519,car,0,3181,2026-01-14 21:59:08
520,car,0,3181,2026-01-14 21:59:08
521,car,0,3181,2026-01-14 21:59:08
522,car,0,3181,2026-01-14 21:59:08
523,car,0,3182,2026-01-14 21:59:08
524,car,0,3184,2026-01-14 21:59:08
525,car,0,3186,2026-01-14 21:59:08
526,car,0,3186,2026-01-14 21:59:08
527,car,0,3188,2026-01-14 21:59:08
528,car,0,3188,2026-01-14 21:59:08
529,car,0,3188,2026-01-14 21:59:08
530,car,0,3189,2026-01-14 21:59:08
531,car,0,3189,2026-01-14 21:59:08
532,car,0,3190,2026-01-14 21:59:09
533,car,0,3190,2026-01-14 21:59:09
534,car,0,3194,2026-01-14 21:59:09
535,car,0,3194,2026-01-14 21:59:09
536,car,0,3195,2026-01-14 21:59:09
537,car,0,3195,2026-01-14 21:59:09
538,car,0,3196,2026-01-14 21:59:09
539,car,0,3196,2026-01-14 21:59:09
540,car,0,3196,2026-01-14 21:59:09
541,car,0,3196,2026-01-14 21:59:09
542,car,0,3198,2026-01-14 21:59:10
543,car,0,3198,2026-01-14 21:59:10
544,car,0,3199,2026-01-14 21:59:10
545,car,0,3201,2026-01-14 21:59:10
546,car,0,3201,2026-01-14 21:59:10
547,car,0,3201,2026-01-14 21:59:10
548,car,0,3202,2026-01-14 21:59:10
549,car,0,3202,2026-01-14 21:59:10
550,car,0,3204,2026-01-14 21:59:10
551,car,0,3205,2026-01-14 21:59:11
552,car,0,3205,2026-01-14 21:59:11
553,car,0,3206,2026-01-14 21:59:11
554,car,0,3206,2026-01-14 21:59:11
555,car,0,3206,2026-01-14 21:59:11
556,car,0,3208,2026-01-14 21:59:11
557,car,0,3213,2026-01-14 21:59:12
558,car,0,3214,2026-01-14 21:59:12
559,car,0,3216,2026-01-14 21:59:12
560,car,0,3218,2026-01-14 21:59:12
561,car,0,3223,2026-01-14 21:59:13
562,car,0,3223,2026-01-14 21:59:13
563,car,0,3224,2026-01-14 21:59:13
564,car,0,3225,2026-01-14 21:59:13
565,car,0,3226,2026-01-14 21:59:13
566,car,0,3227,2026-01-14 21:59:13
567,car,0,3228,2026-01-14 21:59:13
568,car,0,3228,2026-01-14 21:59:13
569,car,0,3234,2026-01-14 21:59:14
570,car,0,3235,2026-01-14 21:59:14
571,car,0,3236,2026-01-14 21:59:14
572,car,0,3240,2026-01-14 21:59:15
573,car,0,3242,2026-01-14 21:59:15
574,car,0,3242,2026-01-14 21:59:15
575,car,0,3246,2026-01-14 21:59:16
576,car,0,3246,2026-01-14 21:59:16
577,car,0,3246,2026-01-14 21:59:16
578,car,0,3246,2026-01-14 21:59:16
579,car,0,3247,2026-01-14 21:59:16
580,car,0,3248,2026-01-14 21:59:16
581,car,0,3249,2026-01-14 21:59:16
582,car,0,3252,2026-01-14 21:59:16
583,car,0,3252,2026-01-14 21:59:16
584,car,0,3252,2026-01-14 21:59:16
585,car,0,3252,2026-01-14 21:59:16
586,car,0,3253,2026-01-14 21:59:16
587,car,0,3255,2026-01-14 21:59:17
588,car,0,3255,2026-01-14 21:59:17
589,car,0,3255,2026-01-14 21:59:17
590,car,0,3255,2026-01-14 21:59:17
591,car,0,3255,2026-01-14 21:59:17
592,car,0,3256,2026-01-14 21:59:17
593,car,0,3256,2026-01-14 21:59:17
594,car,0,3256,2026-01-14 21:59:17
595,car,0,3256,2026-01-14 21:59:17
596,car,0,3256,2026-01-14 21:59:17
597,car,0,3258,2026-01-14 21:59:17
598,car,0,3260,2026-01-14 21:59:17
599,bus,0,3263,2026-01-14 21:59:18
600,car,0,3264,2026-01-14 21:59:18
601,car,0,3264,2026-01-14 21:59:18
602,car,0,3265,2026-01-14 21:59:18
603,car,0,3265,2026-01-14 21:59:18
604,car,0,3265,2026-01-14 21:59:18
605,car,0,3267,2026-01-14 21:59:18
606,car,0,3267,2026-01-14 21:59:18
607,car,0,3267,2026-01-14 21:59:18
608,car,0,3267,2026-01-14 21:59:18
609,car,0,3268,2026-01-14 21:59:18
610,car,0,3268,2026-01-14 21:59:18
611,truck,0,3269,2026-01-14 21:59:18
612,car,0,3269,2026-01-14 21:59:18
613,car,0,3270,2026-01-14 21:59:18
614,car,0,3271,2026-01-14 21:59:19
615,car,0,3271,2026-01-14 21:59:19
616,car,0,3271,2026-01-14 21:59:19
617,car,0,3272,2026-01-14 21:59:19
618,car,0,3272,2026-01-14 21:59:19
619,car,0,3272,2026-01-14 21:59:19
620,car,0,3274,2026-01-14 21:59:19
621,car,0,3274,2026-01-14 21:59:19
622,car,0,3275,2026-01-14 21:59:19
623,car,0,3275,2026-01-14 21:59:19
624,car,0,3275,2026-01-14 21:59:19
625,car,0,3276,2026-01-14 21:59:19
626,car,0,3276,2026-01-14 21:59:19
627,car,0,3276,2026-01-14 21:59:19
628,car,0,3279,2026-01-14 21:59:20
629,car,0,3281,2026-01-14 21:59:20
630,car,0,3283,2026-01-14 21:59:20
631,car,0,3284,2026-01-14 21:59:20
632,car,0,3291,2026-01-14 21:59:21
633,car,0,3371,2026-01-14 21:59:29
634,car,0,3372,2026-01-14 21:59:29
635,car,0,3372,2026-01-14 21:59:29
636,car,0,3376,2026-01-14 21:59:30
637,car,0,3377,2026-01-14 21:59:30
638,car,0,3379,2026-01-14 21:59:30
639,car,0,3379,2026-01-14 21:59:30
